Group, Time, Resource Size
Group #3,1,18
Group #3,2,24
Group #3,3,23
Group #3,4,26
Group #3,5,30
Group #3,6,31
Group #3,7,31
Group #3,8,28
Group #3,9,28
Group #3,10,29
Group #3,11,27
Group #3,12,25
Group #3,13,22
Group #3,14,22
Group #3,15,19
Group #3,16,18
Group #3,17,17
Group #3,18,15
Group #3,19,14
Group #3,20,11
Group #3,21,12
Group #3,22,10
Group #3,23,8
Group #3,24,7
Group #3,25,3
Group #3,26,2
Group #3,27,0
Group #3,28,0
Group #3,29,0
Group #3,30,0
Group #3,31,0
