Period,Station 1 (uid: 1) moves,Station 1 (uid: 1) tokens collected,Group #3 avg token P,Group #3 tokens left,
5,13,4,0.0,14,
10,20,5,0.0,7,
15,21,4,0.0,2,
20,9,1,0.0,0,
25,0,0,0.0,0,
