Group, Time, Resource Size
Group #1,1,18
Group #1,2,17
Group #1,3,16
Group #1,4,15
Group #1,5,12
Group #1,6,12
Group #1,7,10
Group #1,8,7
Group #1,9,6
Group #1,10,3
Group #1,11,2
Group #1,12,0
Group #1,13,0
Group #1,14,0
Group #1,15,0
Group #1,16,0
Group #1,17,0
