Period,Station 1 (uid: 1) moves,Station 1 (uid: 1) tokens collected,Group #2 avg token P,Group #2 tokens left,
5,9,2,0.0,20,
10,17,8,0.0,11,
15,16,6,0.0,3,
20,6,2,0.0,0,
20,0,0,0.0,0,
