Period,Station 1 (uid: 1) moves,Station 1 (uid: 1) tokens collected,Group #1 avg token P,Group #1 tokens left,
5,10,3,0.0,20,
10,11,4,0.0,16,
15,11,7,0.0,7,
20,11,5,0.0,0,
25,0,0,0.0,0,
