Period,Station 1 (uid: 1) moves,Station 1 (uid: 1) tokens collected,Group #1 avg token P,Group #1 tokens left,
5,12,6,0.0,13,
10,17,7,0.0,3,
15,7,2,0.0,0,
15,0,0,0.0,0,
