Period,Station 1 (uid: 1) moves,Station 1 (uid: 1) tokens collected,Group #3 avg token P,Group #3 tokens left,
5,12,4,0.0,18,
10,10,6,0.0,13,
15,12,7,0.0,5,
20,6,5,0.0,0,
25,0,0,0.0,0,
