Group, Time, Resource Size
Group #1,1,19
Group #1,2,20
Group #1,3,17
Group #1,4,15
Group #1,5,13
Group #1,6,9
Group #1,7,6
Group #1,8,6
Group #1,9,4
Group #1,10,3
Group #1,11,2
Group #1,12,1
Group #1,13,0
Group #1,14,0
Group #1,15,0
