Group, Time, Resource Size
Group #2,1,19
Group #2,2,19
Group #2,3,18
Group #2,4,20
Group #2,5,20
Group #2,6,18
Group #2,7,17
Group #2,8,13
Group #2,9,12
Group #2,10,11
Group #2,11,10
Group #2,12,8
Group #2,13,7
Group #2,14,5
Group #2,15,3
Group #2,16,0
Group #2,17,0
Group #2,18,0
Group #2,19,0
Group #2,20,0
