Group, Time, Resource Size
Group #1,1,19
Group #1,2,20
Group #1,3,19
Group #1,4,18
Group #1,5,20
Group #1,6,18
Group #1,7,17
Group #1,8,16
Group #1,9,16
Group #1,10,16
Group #1,11,13
Group #1,12,11
Group #1,13,10
Group #1,14,8
Group #1,15,7
Group #1,16,4
Group #1,17,2
Group #1,18,0
Group #1,19,0
Group #1,20,0
Group #1,21,0
Group #1,22,0
