Period,Station 1 (uid: 1) moves,Station 1 (uid: 1) tokens collected,Group #3 avg token P,Group #3 tokens left,
5,9,4,0.0,23,
10,13,8,0.0,12,
15,15,8,0.0,3,
20,6,2,0.0,0,
20,0,0,0.0,0,
