Period,Station 1 (uid: 1) moves,Station 1 (uid: 1) tokens collected,Group #1 avg token P,Group #1 tokens left,
5,9,5,0.0,12,
10,20,6,0.0,3,
15,15,2,0.0,0,
20,0,0,0.0,0,
