Group, Time, Resource Size
Group #3,1,18
Group #3,2,23
Group #3,3,24
Group #3,4,25
Group #3,5,23
Group #3,6,21
Group #3,7,17
Group #3,8,17
Group #3,9,15
Group #3,10,12
Group #3,11,10
Group #3,12,9
Group #3,13,8
Group #3,14,5
Group #3,15,3
Group #3,16,1
Group #3,17,0
Group #3,18,0
Group #3,19,0
Group #3,20,0
