Period,Station 1 (uid: 1) moves,Station 1 (uid: 1) tokens collected,Group #2 avg token P,Group #2 tokens left,
5,10,7,0.0,14,
10,15,5,0.0,5,
15,15,3,0.0,0,
20,0,0,0.0,0,
25,0,0,0.0,0,
30,0,0,0.0,0,
35,0,0,0.0,0,
