Period,Station 1 (uid: 1) moves,Station 1 (uid: 1) tokens collected,Group #2 avg token P,Group #2 tokens left,
5,8,5,0.0,15,
10,19,8,0.0,5,
15,5,4,0.0,0,
20,0,0,0.0,0,
