Time, Identifier, Group, # tokens, row stdev, column stdev
5, Station 1 (uid: 1), Group #1, 5, 0.6849348892187752, 1.065740338513938
Group #1 weighted spatial metric: 1.7506752277327131
Time, Identifier, Group, # tokens, row stdev, column stdev
10, Station 1 (uid: 1), Group #1, 11, 0.9428090415820634, 0.6666666666666666
Group #1 weighted spatial metric: 1.6094757082487303
Time, Identifier, Group, # tokens, row stdev, column stdev
15, Station 1 (uid: 1), Group #1, 13, 0.41573970964154905, 0.41573970964154905
Group #1 weighted spatial metric: 0.8314794192830981
Time, Identifier, Group, # tokens, row stdev, column stdev
20, Station 1 (uid: 1), Group #1, 13, 0.0, 0.0
Group #1 weighted spatial metric: 0.0
