Group, Time, Resource Size
Group #2,1,18
Group #2,2,18
Group #2,3,16
Group #2,4,15
Group #2,5,17
Group #2,6,16
Group #2,7,15
Group #2,8,14
Group #2,9,13
Group #2,10,10
Group #2,11,7
Group #2,12,6
Group #2,13,3
Group #2,14,1
Group #2,15,0
Group #2,16,0
Group #2,17,0
Group #2,18,0
