Period,Station 1 (uid: 1) moves,Station 1 (uid: 1) tokens collected,Group #3 avg token P,Group #3 tokens left,
5,0,0,0.0,30,
10,11,5,0.0,29,
15,14,12,0.0,19,
20,11,8,0.0,11,
25,21,6,0.0,3,
30,6,2,0.0,0,
35,0,0,0.0,0,
