1485163431956, -13.877, 33831956, class edu.asu.commons.foraging.event.ResourcesAddedEvent, Group #1, [java.awt.Point[x=8,y=2], java.awt.Point[x=0,y=8], java.awt.Point[x=0,y=2], java.awt.Point[x=2,y=0], java.awt.Point[x=2,y=7], java.awt.Point[x=1,y=3], java.awt.Point[x=8,y=6], java.awt.Point[x=7,y=1], java.awt.Point[x=2,y=4], java.awt.Point[x=7,y=5], java.awt.Point[x=3,y=3], java.awt.Point[x=4,y=8], java.awt.Point[x=8,y=1], java.awt.Point[x=0,y=3], java.awt.Point[x=6,y=2], java.awt.Point[x=4,y=6], java.awt.Point[x=5,y=6], java.awt.Point[x=7,y=8], java.awt.Point[x=7,y=2], java.awt.Point[x=6,y=7]]
1485163445833, 0.000, class edu.asu.commons.event.RoundStartedMarkerEvent - id: system identifier, created on 1485163445833
1485163446001, 0.168, 33846001, BotIdentifier uid: 14851634319553, 1, 1, 2, 7, right, movement event
1485163446160, 0.327, 33846160, BotIdentifier uid: 14851634319553, 1, 2, 2, 8, down, movement event
1485163446317, 0.484, 33846317, BotIdentifier uid: 14851634319553, 7, 5, 1, 1, token collected event
1485163446786, 0.953, 33846786, BotIdentifier uid: 14851634319553, 1, 3, 3, 8, right, movement event
1485163446866, 1.033, 33846866, class edu.asu.commons.foraging.event.ResourcesAddedEvent, Group #1, [java.awt.Point[x=7,y=5]]
1485163446950, 1.117, 33846950, BotIdentifier uid: 14851634319553, 1, 4, 3, 8, down, movement event
1485163447107, 1.274, 33847107, BotIdentifier uid: 14851634319553, 8, 6, 1, 2, token collected event
1485163447662, 1.829, 33847662, Station 1 (uid: 1), 1, 1, 1, 4, left, movement event
1485163447899, 2.066, 33847899, class edu.asu.commons.foraging.event.ResourcesAddedEvent, Group #1, []
1485163448014, 2.181, 33848014, Station 1 (uid: 1), 1, 2, 1, 3, up, movement event
1485163448057, 2.224, 33848057, BotIdentifier uid: 14851634319553, 1, 5, 2, 8, left, movement event
1485163448218, 2.385, 33848218, BotIdentifier uid: 14851634319553, 1, 6, 2, 7, up, movement event
1485163448300, 2.467, 33848300, Station 1 (uid: 1), 1, 3, 1, 1, token collected event
1485163448376, 2.543, 33848376, BotIdentifier uid: 14851634319553, 7, 5, 1, 3, token collected event
1485163448421, 2.588, 33848421, Station 1 (uid: 1), 1, 3, 0, 3, left, movement event
1485163448697, 2.864, 33848697, Station 1 (uid: 1), 0, 3, 1, 2, token collected event
1485163448829, 2.996, 33848829, Station 1 (uid: 1), 1, 4, 0, 2, up, movement event
