Group, Time, Resource Size
Group #3,1,19
Group #3,2,21
Group #3,3,21
Group #3,4,19
Group #3,5,18
Group #3,6,18
Group #3,7,16
Group #3,8,15
Group #3,9,14
Group #3,10,13
Group #3,11,12
Group #3,12,8
Group #3,13,8
Group #3,14,6
Group #3,15,5
Group #3,16,6
Group #3,17,3
Group #3,18,0
Group #3,19,0
Group #3,20,0
Group #3,21,0
