Period,Station 1 (uid: 1) moves,Station 1 (uid: 1) tokens collected,Group #2 avg token P,Group #2 tokens left,
5,10,6,0.0,16,
10,15,10,0.0,8,
15,17,6,0.0,1,
20,2,1,0.0,0,
20,0,0,0.0,0,
