Period,Station 1 (uid: 1) moves,Station 1 (uid: 1) tokens collected,Group #3 avg token P,Group #3 tokens left,
5,3,2,0.0,22,
10,12,8,0.0,19,
15,12,8,0.0,13,
20,9,8,0.0,2,
25,2,0,0.0,0,
