Group, Time, Resource Size
Group #3,1,19
Group #3,2,19
Group #3,3,17
Group #3,4,15
Group #3,5,14
Group #3,6,11
Group #3,7,9
Group #3,8,10
Group #3,9,8
Group #3,10,7
Group #3,11,7
Group #3,12,5
Group #3,13,4
Group #3,14,3
Group #3,15,2
Group #3,16,1
Group #3,17,0
Group #3,18,0
Group #3,19,0
Group #3,20,0
Group #3,21,0
Group #3,22,0
